year,Groups,Y,lpop,lavg_pay,id,D,region_2,region_3,region_4
2001,Never treated,5.29330482472449,9.77184009847013,10.3223294576859,13001,0,0,1,0
2002,Never treated,5.17048399503815,9.77798101729641,10.3500626137005,13001,0,0,1,0
2003,Never treated,5.11198778835654,9.79009486518104,10.3822650783332,13001,0,0,1,0
2004,Never treated,5.30826769740121,9.7928911311941,10.4249860183584,13001,0,0,1,0
2005,Never treated,5.36597601502185,9.78318258949248,10.3594873340183,13001,0,0,1,0
2006,Never treated,5.34710753071747,9.77900084741312,10.4033836662094,13001,0,0,1,0
2007,Never treated,5.43372200355424,9.79283528243253,10.4270911886613,13001,0,0,1,0
2001,Never treated,4.20469261939097,8.93458687038968,9.98012446707483,13003,0,0,1,0
2002,Never treated,4.07753744390572,8.94910546953925,10.00437307031,13003,0,0,1,0
2003,Never treated,3.40119738166216,8.98331429339775,10.053802313195,13003,0,0,1,0
2004,Never treated,3.55534806148941,8.98080141357311,10.0959244430712,13003,0,0,1,0
2005,Never treated,3.85014760171006,8.98318879926443,10.1458845607722,13003,0,0,1,0
2006,Never treated,3.87120101090789,8.98994304633,10.191219623738,13003,0,0,1,0
2007,Never treated,3.40119738166216,9.00761200540457,10.1606846439752,13003,0,0,1,0
2001,Never treated,6.26720054854136,10.7092712145996,10.1141940837467,13009,0,0,1,0
2002,Never treated,6.2709884318583,10.7131947990075,10.1496833473805,13009,0,0,1,0
2003,Never treated,6.22059017009974,10.7161496015972,10.1680417250959,13009,0,0,1,0
2004,Never treated,6.04500531403601,10.7196042954398,10.1812707928087,13009,0,0,1,0
2005,Never treated,6.13772705408623,10.726917103359,10.2100159127843,13009,0,0,1,0
2006,Never treated,6.12686918411419,10.7274656076017,10.1982445386599,13009,0,0,1,0
2007,Never treated,6.02586597382531,10.7476591025323,10.2322155944239,13009,0,0,1,0
2001,Never treated,5.61677109766657,9.60548574767749,10.040157763911,13011,0,0,1,0
2002,Never treated,5.37527840768417,9.62661352880094,10.0784487549238,13011,0,0,1,0
2003,Never treated,5.27299955856375,9.64471682357877,10.038542783529,13011,0,0,1,0
2004,Never treated,5.31320597904179,9.66256183142612,10.1009439969144,13011,0,0,1,0
2005,Never treated,5.49306144334055,9.67733949220162,10.1621526759174,13011,0,0,1,0
2006,Never treated,5.59842195899838,9.68948955288162,10.2220140082829,13011,0,0,1,0
2007,Never treated,5.57215403217776,9.70765513371423,10.1698438382732,13011,0,0,1,0
2001,Never treated,4.70048036579242,9.21920100040838,9.99729660621419,13005,0,0,1,0
2002,Never treated,4.71849887129509,9.21363493892561,10.0647557001323,13005,0,0,1,0
2003,Never treated,4.67282883446191,9.23727437321626,10.059679005711,13005,0,0,1,0
2004,Never treated,4.72738781871234,9.24319470884713,10.1022974268349,13005,0,0,1,0
2005,Never treated,4.69134788222914,9.23912217340163,10.0858091093301,13005,0,0,1,0
2006,Never treated,4.81218435537242,9.23892782882809,10.0953468138106,13005,0,0,1,0
2007,Never treated,4.77068462446567,9.26520727341702,10.1231450345655,13005,0,0,1,0
2001,Never treated,2.83321334405622,8.31996102188653,9.98359179677779,13007,0,0,1,0
2002,Never treated,2.07944154167984,8.29729437026692,10.0666687626777,13007,0,0,1,0
2003,Never treated,2.56494935746154,8.36404201192206,10.0856841015169,13007,0,0,1,0
2004,Never treated,2.30258509299405,8.3466420902212,10.0585235546357,13007,0,0,1,0
2005,Never treated,2.39789527279837,8.29329935871132,10.0969550947403,13007,0,0,1,0
2006,Never treated,2.19722457733622,8.27614021955846,10.113910539441,13007,0,0,1,0
2007,Never treated,2.07944154167984,8.22790983759748,10.1912946171761,13007,0,0,1,0
2001,Never treated,5.55682806169954,9.76209678434414,10.1156510430072,13017,0,0,1,0
2002,Never treated,5.38449506278909,9.75655244441243,10.1331299405902,13017,0,0,1,0
2003,Never treated,5.42934562895444,9.75074421527093,10.1483143146815,13017,0,0,1,0
2004,Never treated,5.33271879326537,9.75620490038669,10.1930927745498,13017,0,0,1,0
2005,Never treated,5.48479693349065,9.7537106272179,10.2034439858633,13017,0,0,1,0
2006,Never treated,5.51745289646471,9.76772510152213,10.2120378607922,13017,0,0,1,0
2007,Never treated,5.03043792139244,9.78267493231938,10.227091634164,13017,0,0,1,0
2001,Never treated,5.57215403217776,9.69356866855007,10.0930329544194,13019,0,0,1,0
2002,Never treated,5.50125821054473,9.70393845007555,10.1226230824528,13019,0,0,1,0
2003,Never treated,5.56452040732269,9.71305317563162,10.1364626157636,13019,0,0,1,0
2004,Never treated,5.55682806169954,9.71371833060702,10.2088376226413,13019,0,0,1,0
2005,Never treated,5.65599181081985,9.71926418845258,10.1953732772485,13019,0,0,1,0
2006,Never treated,5.62762111369064,9.72064586049529,10.2103838439117,13019,0,0,1,0
2007,Never treated,4.99721227376411,9.72256501665588,10.2742576908474,13019,0,0,1,0
2001,Never treated,6.29526600143965,10.7907201568103,10.2051095117216,13013,0,0,1,0
2002,Never treated,6.24997524225948,10.8441000965553,10.2146053504655,13013,0,0,1,0
2003,Never treated,6.18826412308259,10.885940486664,10.2340854259647,13013,0,0,1,0
2004,Never treated,6.18208490671663,10.9447531743517,10.253158022322,13013,0,0,1,0
2005,Never treated,6.25575004175337,10.9924534641524,10.3108508579274,13013,0,0,1,0
2006,Never treated,6.4377516497364,11.0515881742954,10.3483977076072,13013,0,0,1,0
2007,Never treated,6.40191719672719,11.1149819982609,10.3509899164354,13013,0,0,1,0
2001,Never treated,6.99668148817654,11.2846563001135,10.2674707261894,13015,0,0,1,0
2002,Never treated,6.87832646829133,11.3216923176455,10.2944817942158,13015,0,0,1,0
2003,Never treated,6.8501261661455,11.3510886557167,10.3216056067676,13015,0,0,1,0
2004,Never treated,6.87005341179813,11.3726744029956,10.3569170871608,13015,0,0,1,0
2005,Never treated,6.92755790627832,11.3880422828235,10.3694517843901,13015,0,0,1,0
2006,Never treated,6.87523208727658,11.4096516595064,10.409521715566,13015,0,0,1,0
2007,Never treated,6.93634273583405,11.4373071220113,10.4676927928054,13015,0,0,1,0
2001,Never treated,4.43081679884331,9.61099392308713,9.93362870944812,13025,0,0,1,0
2002,Never treated,4.57471097850338,9.63010278478517,9.99966099598478,13025,0,0,1,0
2003,Never treated,4.26267987704132,9.64406894535721,10.050786239557,13025,0,0,1,0
2004,Never treated,4.15888308335967,9.64387450001194,10.094190553358,13025,0,0,1,0
2005,Never treated,4.02535169073515,9.63443094420751,10.0942318714037,13025,0,0,1,0
2006,Never treated,4.26267987704132,9.64231757462446,10.1011491798356,13025,0,0,1,0
2007,Never treated,4.40671924726425,9.64432814701755,10.1054891800969,13025,0,0,1,0
2001,Never treated,4.33073334028633,9.70283907904929,9.9076787571546,13027,0,0,1,0
2002,Never treated,4.21950770517611,9.7003916965257,9.99852496787088,13027,0,0,1,0
2003,Never treated,4.21950770517611,9.69861359127166,10.0059087526353,13027,0,0,1,0
2004,Never treated,4.29045944114839,9.70057545812617,10.0493180007477,13027,0,0,1,0
2005,Never treated,4.31748811353631,9.68806412423706,10.0941492336051,13027,0,0,1,0
2006,Never treated,4.4188406077966,9.69726257166061,10.114396566182,13027,0,0,1,0
2007,Never treated,4.23410650459726,9.70161613649746,10.1505819780061,13027,0,0,1,0
2001,Never treated,5.62040086571715,10.0960894187376,10.031176913677,13029,0,0,1,0
2002,Never treated,5.61677109766657,10.1301050626618,10.0687901041605,13029,0,0,1,0
2003,Never treated,5.35658627467201,10.1721779188063,10.0990132168137,13029,0,0,1,0
2004,Never treated,5.40267738187228,10.2209589831737,10.1659287371221,13029,0,0,1,0
2005,Never treated,5.50938833662798,10.2335823536195,10.2261868041198,13029,0,0,1,0
2006,Never treated,5.70044357339069,10.2648266026017,10.2524881236632,13029,0,0,1,0
2007,Never treated,5.6937321388027,10.3117487479463,10.2835664742539,13029,0,0,1,0
2001,Never treated,6.47697236288968,10.9449649564992,10.0654363195221,13031,0,0,1,0
2002,Never treated,6.47697236288968,10.953137162155,10.0844331631502,13031,0,0,1,0
